keyword,source,crawl_time,job_title,company_name,city,salary_raw,degree_raw,experience_raw,job_type_raw,publish_time_raw,company_type_raw,company_size_raw,welfare_raw,skill_tags_raw,major_requirement_raw,recruit_num_raw,job_desc_raw,job_link,job_id,is_wuhan,degree_std,experience_std,salary_min,salary_max,salary_avg,salary_unit,salary_months,job_title_norm,title_keep,title_filter_reason,skill_keywords_extract
数据分析师,zhaopin,2026-03-20 00:32:23,数据挖掘工程师 / 高级数据分析师（模型与数据治理方向）,中汽数据有限公司,天津,150-200元/天,本科,经验不限,实习,2026-03-18 15:55:43,"IT服务,互联网,汽车研发/制造,学术/科研",500-999人,,Python | SQL,,1,"岗位职责：
1、数据清洗与治理： 
①负责公司核心业务系统内部数据的全面清洗、校验和标准化工作，识别并处理数据中的缺失、错误与不一致问题。 
②建立和维护长效的数据清洗规则、流程与质量标准，提升核心数据资产的准确性与可用性。 
2、模型开发与自动化： 
①设计并开发数据清洗、分类与打标模型，利用规则引擎与机器学习算法，实现关键业务数据的智能归类与信息提取。 
②应用自然语言处理（NLP）等技术，对非结构化文本数据进行智能解析，挖掘深层信息。 
③构建数据质量监控与异常检测模型，实现数据问题的主动发现与预警。 
3、数据价值挖掘与分析： 
①基于治理后的高质量数据，进行深度分析与挖掘，揭示业务规律、风险点和优化机会。 
②通过建立数据分析模型，为业务决策、产品优化、风险管控等提供量化依据与数据支持。 
4、数据产品与报告： 
①开发可视化的数据看板与自动化报告，持续监控数据健康度并赋能业务团队。 
②将核心数据模型与分析方法沉淀为可复用的数据工具或服务。
任职要求：
1、编程与工具： 
熟练掌握 Python 进行数据清洗、分析和建模，精通 Pandas, NumPy, Scikit-learn 等核心库。 
熟练使用 SQL，能够进行复杂的数据处理与提取。 
具备使用数据可视化工具（如 Tableau, Power BI）的能力。 
2、数据建模能力： 
具备扎实的数据挖掘和机器学习知识，有实际的数据分类、聚类、自然语言处理（NLP）等项目经验。 
熟悉模型构建的全流程，包括特征工程、模型训练、评估与优化。 
3、数据敏感度： 
对数据有高度的敏感性和严谨性，具备优秀的数据清洗和质量控制能力。 
4、加分项： 
有处理复杂B端业务系统数据（如供应链、ERP、CRM等）经验者优先。 
具备大数据处理经验（如 Spark）者优先。 
5、综合素质： 
具备优秀的逻辑分析能力和系统性解决问题的能力。 
具有良好的沟通能力和团队协作精神，能够将复杂的技术问题转化为清晰的业务语言。 
对工作认真负责，有强烈的自驱力，乐于探索数据背后的业务价值。",https://www.zhaopin.com/jobdetail/CC464341810J40822781605.htm?refcode=4019&srccode=401903&preactionid=f8902647-b109-4658-b0e3-ab514403a89b,CC464341810J40822781605,0,本科,不限,150.0,200.0,175.0,日薪,12,数据挖掘工程师 / 高级数据分析师（模型与数据治理方向）,1,keep_数据分析簇,Python | SQL | Tableau | Power BI | Spark | 机器学习 | 数据建模 | 数据可视化
数据分析师,zhaopin,2026-03-20 00:32:40,数据分析师,北京盘拓数据科技有限公司,青岛,5000-7000元,本科,经验不限,全职,2026-03-17 01:53:46,云计算/大数据,20-99人,定期体检 | 五险一金 | 周末双休 | 节日福利,舆情分析 | Python | 英语 | 团队协作能力 | 数据分析 | 数据库,,3,"岗位职责：
1、深入理解业务，与产品研发配合，进行数据治理，高效为业务提供数据支持；
2、通过数据分析，驱动产品及运营优化；
3、能主动发现和识别业务问题，结合业务目标构建分析模型，为产品数据化运营提供解决方案。
任职要求:
1、统计学、数学、计算机等理工科专业；
2、熟练使用Python、SQL、Shell、Excel等数据处理分析工具；
3、熟悉 Python 科学计算类工具库，NumPy、Pandas；
3、对数据敏感，逻辑思维缜密，总结及表达能力好；
4、学习能力好，抗压能力强，能快速学习接受新事物。
职位福利：五险一金、周末双休、大牛带队、定期体检、节日福利",https://www.zhaopin.com/jobdetail/CCL1369677690J40223335013.htm?refcode=4019&srccode=401903&preactionid=f8902647-b109-4658-b0e3-ab514403a89b,CCL1369677690J40223335013,0,本科,不限,5000.0,7000.0,6000.0,月薪,12,数据分析师,1,keep_数据分析簇,Python | SQL | Excel | Shell | 数据治理
数据分析师,zhaopin,2026-03-20 00:32:56,政务高级数据分析师,深圳市前海数据服务有限公司,深圳,1.5-3万,本科,5-10年,全职,2026-01-22 09:46:27,"云计算/大数据,云计算/大数据",100-299人,,机器算法 | Sql | Python | R语言 | 政务数据 | 云计算/大数据,经济学、统计学、计算机等相关专业本科及以上学历,1,"岗位职责 
1. 参与宏观经济、政策评估等模型的开发与迭代，完成政务数据的深度挖掘与专题分析。 
2. 协助数据分析流程的落地与优化，独立完成数据清洗、特征工程及可视化报告输出。 
3. 协同业务部门，将政策需求转化为数据分析目标，产出决策支持建议与数据产品。 
4. 跟进前沿分析方法的应用，参与数据产品规划，并协助团队知识沉淀与能力提升。 
5. 负责团队建设、人才培养，建立高效、规范的政务数据分析工作流程与质量标准。 
任职要求 
1. 经济学、统计学、计算机等相关专业本科及以上学历。 
2. 5年以上数据分析 与算法 经验， 其中至少2年团队管理经验 ;具备政务、经济或金融领域项目经验者优先。 
3. 精通Python/SQL，熟练使用主流可视化工具，具备扎实的建模与数据分析能力。 
4. 逻辑清晰，具备优秀的数据解读、跨部门沟通能力与自主学习意识。 
5. 责任心强，具备良好的抗压能力、团队协作精神及保密意识。 
我们提供： 
参与塑造智慧城市核心数据能力的宝贵机会。 
与政府高层决策者直接对话、发挥影响力的平台。 
具有竞争力的薪酬福利和职业发展通道。 
稳定、规范且富有社会价值的工作环境。",https://www.zhaopin.com/jobdetail/CC707536820J40789001116.htm?refcode=4019&srccode=401903&preactionid=f8902647-b109-4658-b0e3-ab514403a89b,CC707536820J40789001116,0,本科,5-10年,15000.0,30000.0,22500.0,月薪,12,政务高级数据分析师,1,keep_数据分析簇,Python | SQL
数据分析师,zhaopin,2026-03-20 00:33:12,数据分析师（应届生）,美林数据技术股份有限公司,石家庄,9000-12000元,硕士,经验不限,全职,2025-10-28 17:54:18,"计算机软件,IT服务",500-999人,,Python | Sql | R语言 | 数据治理 | 数据挖掘 | 数据建模 | 人工智能 | 计算机软件,您是统招硕士学历，数学与应用数学、计算机、自动化、模式识别、智能系统、统计学、数据挖掘等,2,"依据业务需求及目标，用专业的数据分析能力帮助客户解决业务问题、挖掘数据价值，助力客户数据
价值释放，包括数据处理、分析建模、数据挖掘、数据分析报告编写等相关工作。
我们需要您：
1.了解 GPT，熟练使用者优先录用;
2.了解数据分析建模整个流程，掌握基础统计分析算法，熟悉主流的分类、聚类、时序数据预测等数
据挖掘算法及常见的 SQL 语句；
3.能将业务需求转为数据需求，熟练使用 Python 构建算法模型，了解 R、SAS、SPSS 等分析工具构建
挖掘分析场景；
4.较好的沟通表达、学习和理解能力，能够快速理解团队小伙伴的想法、客户的业务痛点。
假若：
您是统招硕士学历，数学与应用数学、计算机、自动化、模式识别、智能系统、统计学、数据挖掘等
专业/研究方向，愿意“用数据分析思维及技术帮助客户创造更大价值”，欢迎加入！",https://www.zhaopin.com/jobdetail/CC200911980J40812351415.htm?refcode=4019&srccode=401903&preactionid=f8902647-b109-4658-b0e3-ab514403a89b,CC200911980J40812351415,0,硕士,不限,9000.0,12000.0,10500.0,月薪,12,数据分析师（应届生）,1,keep_数据分析簇,Python | SQL | SAS | R
数据分析师,zhaopin,2026-03-20 00:33:29,数据分析师,北京盘拓数据科技有限公司,北京,1-1.5万,硕士,经验不限,全职,2025-10-15 00:21:02,云计算/大数据,20-99人,,数据挖掘,国际关系相关专业优先,1,"1、岗位职责：
根据客户业务，进行需求搜集、调研，提供需求总结、调研报告，持续迭代；
定期进行专题分析、综合分析，撰写研究报告。
2、岗位要求：
国际关系相关专业优先；
硕士及以上学历；
热爱JS行业，BD背景优先；
优秀的数据收集分析和需求分析能力，长期关注热点新闻等；
较好的英文阅读能力和报告撰写能力；
较强的行业洞察能力和分析能力，具有较强的责任意识；
较强的沟通和协作能力，较强的表达和理解能力；；
欢迎优秀应届毕业生！",https://www.zhaopin.com/jobdetail/CCL1369677690J40828677713.htm?refcode=4019&srccode=401903&preactionid=f8902647-b109-4658-b0e3-ab514403a89b,CCL1369677690J40828677713,0,硕士,不限,10000.0,15000.0,12500.0,月薪,12,数据分析师,1,keep_数据分析簇,JavaScript
数据分析师,zhaopin,2026-03-20 00:33:46,算法工程师/高级数据分析师（政务方向）,深圳市前海数据服务有限公司,深圳,2-3万,本科,5-10年,全职,2026-01-22 09:50:10,"云计算/大数据,云计算/大数据",100-299人,,机器学习 | 逻辑回归 | 数据分析 | 云计算/大数据,经济学、统计学、计算机等相关专业本科及以上学历,1,"岗位职责描述
1. 牵头宏观经济、微观经济预测归因等模型的开发与迭代，完成政务数据的深度挖掘与专题分析。
2. 协助数据分析流程的落地与优化，独立完成数据清洗、特征工程及可视化报告输出。
3. 协同业务部门，将政策需求转化为数据分析目标，产出决策支持建议与数据产品。
4. 跟进前沿分析方法的应用，参与数据产品规划，并协助团队知识沉淀与能力提升。
5. 负责团队建设、人才培养，建立高效、规范的政务数据分析工作流程与质量标准。
任职条件描述
1. 经济学、统计学、计算机等相关专业本科及以上学历。
2. 5年以上数据分析与算法经验，其中至少2年团队管理经验;具备政务、经济或金融领域项目经验者优先。
3. 精通Python/SQL，熟练使用主流可视化工具，具备扎实的建模与数据分析能力。
4. 逻辑清晰，具备优秀的数据解读、跨部门沟通能力与自主学习意识。
5. 责任心强，具备良好的抗压能力、团队协作精神及保密意识。",https://www.zhaopin.com/jobdetail/CC707536820J40789002816.htm?refcode=4019&srccode=401903&preactionid=f8902647-b109-4658-b0e3-ab514403a89b,CC707536820J40789002816,0,本科,5-10年,20000.0,30000.0,25000.0,月薪,12,算法工程师/高级数据分析师（政务方向）,1,keep_数据分析簇,Python | SQL
数据分析师,zhaopin,2026-03-20 00:34:01,银行开发工程师 / 数据分析师（金融方向）,上海澳联数据服务有限公司,上海,1-1.5万,本科,经验不限,全职,2025-08-27 11:28:05,计算机软件,20-99人,,基金数据分析 | SQL | C++ | MySQL | 银行,本科及以上学历，计算机科学、信息技术、统计学、金融工程或相关专业,10,"岗位职责
1. 负责银行内部业务报表的需求沟通、设计、开发与测试工作。 
2. 使用SQL语言进行复杂数据查询、提取、清洗和加工，满足各类数据分析与报表需求。 
3. 运用Java或Python等编程语言，开发和维护自动化报表生成工具与数据流程。 
4. 与业务部门（如风控、财务、营销等）紧密合作，将业务需求转化为技术解决方案。 
5. 确保报表数据的准确性、及时性和安全性，遵守银行数据治理规范。 
6. 优化现有的报表系统和数据查询效率，提升数据处理性能。 
任职要求 
· 必备条件： 
· 本科及以上学历，计算机科学、信息技术、统计学、金融工程或相关专业。 
· 熟练掌握SQL语言，具备优秀的数据库查询、优化能力，有使用Oracle、DB2、MySQL等一种或多种数据库的经验。 
· 至少掌握Java或Python其中一门编程语言，并有实际项目开发经验。 
· 具备良好的逻辑思维能力、数据分析能力和问题解决能力。 
· 工作细致认真，有强烈的责任心和良好的团队协作精神。 
· 优先考虑： 
· 有银行、保险、证券等金融机构相关工作经验者优先。 
· 有报表开发、商业智能（BI）项目经验者优先（熟悉FineReport、Tableau、Power BI等报表工具者更佳）。 
· 熟悉Linux操作系统常用命令，了解Shell脚本者优先。 
· 了解数据仓库（如Hadoop、Hive）相关技术者优先。 
我们期待您的加入！",https://www.zhaopin.com/jobdetail/CCL1385110740J40709400706.htm?refcode=4019&srccode=401903&preactionid=f8902647-b109-4658-b0e3-ab514403a89b,CCL1385110740J40709400706,0,本科,不限,10000.0,15000.0,12500.0,月薪,12,银行开发工程师 / 数据分析师（金融方向）,1,keep_数据分析簇,Python | SQL | Java | Shell | Tableau | Power BI | Hadoop | Hive | MySQL | Oracle | 数据仓库 | 数据治理 | 报表开发
数据分析师,zhaopin,2026-03-20 00:34:14,大模型ai数据分析师,恩梯梯数据(中国)信息技术有限公司,无锡,8000-12000元,硕士,经验不限,校园,2025-06-09 11:42:59,"计算机软件,IT服务,互联网,专业技术服务",1000-9999人,,数据建模 | 数据挖掘 | Python | BI工具 | hive | 人工智能 | 云计算/大数据 | 计算机软件,,2,"工作职责：
1. 配合完成LLM相关的应用开发；
2. 配合完成数据分析、预测及相关方向的研究、开发；
3. 保持技术热情，时刻关注前沿技术和动向。
岗位要求：
1. 0-2年工作经验，接受应届生，理工科专业本科及以上学历；
2. 熟悉一门开发语言并能在工作中熟练使用（包括但不限于python, golang, typescript, c++）
3. 拥有良好的代码规范意识和基本的软件工程思想；
4. 了解数据库在生产环境的基本使用（包括但不限于MySQL, PostgreSQL, MongoDB, Redis, Elasticsearch）；
5. 了解LLM、prompt engineering开发或对之有浓厚的兴趣；
6. 了解docker，git等工具的基本使用；
7. 了解linux的基本命令；
8. 良好的自驱力和技术素养。",https://www.zhaopin.com/jobdetail/CC131652640J40591698204.htm?refcode=4019&srccode=401903&preactionid=f8902647-b109-4658-b0e3-ab514403a89b,CC131652640J40591698204,0,硕士,不限,8000.0,12000.0,10000.0,月薪,12,大模型ai数据分析师,1,keep_数据分析簇,Python | C++ | Go | MySQL | PostgreSQL
数据分析师,zhaopin,2026-03-20 00:34:28,数据分析师（周末双休）,深圳市前海数据服务有限公司,深圳,1-1.5万,本科,1-3年,全职,2025-11-13 15:50:51,"云计算/大数据,云计算/大数据",100-299人,周末双休,政府政策 | 宏观经济 | 企业调研 | 数据分析 | 云计算/大数据 | 企业服务,本科及以上学历，经济、统计、数学等相关专业；相关竞赛获奖优先录取,1,"岗位描述：
1、与政府统计、工信、科技、发改等部门进行沟通，对接客户经济运行监测分析需求，搭建经济运行分析架构；要求能够敏锐识别需求，能够甄别客户真需求及伪需求，能够精准把握客户痛点难点并迅速转化为分析框架；
2、负责地区经济数据、企业数据处理，搭建业务数据指标体系，对产业数据运行进行挖掘分析；能够快速响应客户需求，能够针对客户的问题快速提供精准的数据指标、报表等服务；
3、撰写地区经济运行、工业、商业及服务业运行分析报告，为地区经济运行管理决策提供支撑；能够围绕客户的KPI、痛点需求，基于坚实的数据分析提供高质量的报告，能够给客户带来强的获得感；
4、牵头组织课题研究，协调团队成员推进项目，指导小组成员开展咨询服务；具备很强的团队协作意识，具备快速学习能力。
任职条件描述
1、本科及以上学历，经济、统计、数学等相关专业；相关竞赛获奖优先录取；
2、有较好的文字功底，发表过文章的优先；
3、逻辑清晰，沟通表达能力强；
4、有过产业经济咨询研究项目经验优先；
5、数理能力强，会用大模型、Python、SPSS等统计分析工具优先。
1、与政府统计、工信、科技、发改等部门进行沟通，对接客户经济运行监测分析需求，搭建经济运行分析架构；要求能够敏锐识别需求，能够甄别客户真需求及伪需求，能够精准把握客户痛点难点并迅速转化为分析框架；
2、负责地区经济数据、企业数据处理，搭建业务数据指标体系，对产业数据运行进行挖掘分析；能够快速响应客户需求，能够针对客户的问题快速提供精准的数据指标、报表等服务；
3、撰写地区经济运行、工业、商业及服务业运行分析报告，为地区经济运行管理决策提供支撑；能够围绕客户的KPI、痛点需求，基于坚实的数据分析提供高质量的报告，能够给客户带来强的获得感；
4、牵头组织课题研究，协调团队成员推进项目，指导小组成员开展咨询服务；具备很强的团队协作意识，具备快速学习能力。
任职条件描述
1、本科及以上学历，经济、统计、数学等相关专业；相关竞赛获奖优先录取；
2、有较好的文字功底，发表过文章的优先；
3、逻辑清晰，沟通表达能力强；
4、有过产业经济咨询研究项目经验优先；
5、数理能力强，会用大模型、Python、SPSS等统计分析工具优先。",https://www.zhaopin.com/jobdetail/CC707536820J40739086316.htm?refcode=4019&srccode=401903&preactionid=f8902647-b109-4658-b0e3-ab514403a89b,CC707536820J40739086316,0,本科,1-3年,10000.0,15000.0,12500.0,月薪,12,数据分析师（周末双休）,1,keep_数据分析簇,Python
数据分析师,zhaopin,2026-03-20 00:34:42,数据建模分析师,上海数治数据科技有限公司,上海,1.3-1.8万,硕士,经验不限,全职,2025-10-31 11:29:40,"云计算/大数据,咨询服务",20-99人,定期体检 | 五险一金 | 高温补贴 | 绩效奖金 | 带薪年假 | 员工旅游 | 补充医疗保险,数据建模 | 数据分析 | 机器学习 | 文本挖掘 | R语言 | Python,普通高等院校硕士研究生学历并获得相应学位，统计学、经济学、社会学和数学专业优先,1,"招聘岗位：
1、负责经济和社会统计调查数据建模，如产业园区经济指标预测、海洋经济判断建模、文化产业规模推算等；
2、负责经济和社会研究课题数据建模，如人口大数据建模、手机信令大数据建模、地理信息大数据建模等；
3、其他统计数据建模工作。
岗位要求：
1、普通高等院校硕士研究生学历并获得相应学位，统计学、经济学、社会学和数学专业优先；
2、掌握统计数据建模方法，熟练应用Ｒ、python等统计建模分析软件者优先；
3、具有良好的职业道德，诚实守信、踏实稳重、工作细心、责任心强，有团队协作精神。
职位福利：五险一金、绩效奖金、带薪年假、弹性工作、补充医疗保险、定期体检、员工旅游、高温补贴",https://www.zhaopin.com/jobdetail/CC841423530J40195828415.htm?refcode=4019&srccode=401903&preactionid=f8902647-b109-4658-b0e3-ab514403a89b,CC841423530J40195828415,0,硕士,不限,13000.0,18000.0,15500.0,月薪,12,数据建模分析师,1,keep_数据分析簇,Python | 数据建模
