side,rank_side,term,mean_tfidf_high,mean_tfidf_nonhigh,diff,doc_freq_high,doc_freq_nonhigh
高薪更突出,1,算法,0.04160854237035415,0.01286555947233154,0.028742982898022608,25,22
高薪更突出,2,供应链,0.02936560583577227,0.0026057544278879374,0.02675985140788433,11,4
高薪更突出,3,模型,0.04332059387456473,0.01938400081376964,0.02393659306079509,31,44
高薪更突出,4,业务,0.09299665360937713,0.0709954160073063,0.02200123760207083,50,122
高薪更突出,5,清晰,0.03214112891786668,0.011171442255134712,0.02096968666273197,28,41
高薪更突出,6,建模,0.030477389103057664,0.009714513650973493,0.02076287545208417,28,28
高薪更突出,7,可视化,0.030683117170739887,0.013707819894516124,0.016975297276223763,23,36
高薪更突出,8,产品,0.03374498048815697,0.017169305086669355,0.016575675401487612,27,47
高薪更突出,9,政务,0.01599658387311311,0.0,0.01599658387311311,3,0
高薪更突出,10,建设,0.018917512163649227,0.004817375629288937,0.01410013653436029,11,15
高薪更突出,11,机器学习,0.026848866469060755,0.013072919972390257,0.013775946496670497,19,25
高薪更突出,12,一种,0.02271399002981553,0.008988264757160913,0.013725725272654615,16,28
高薪更突出,13,python,0.034888762432388754,0.021169467252349392,0.013719295180039361,49,92
高薪更突出,14,商业化,0.01565457849060196,0.0023168306708099265,0.013337747819792033,3,2
高薪更突出,15,数据建模,0.01783276899113781,0.004579263357104824,0.013253505634032985,9,14
非高薪更突出,1,整理,0.009290822556766883,0.025315569822016288,-0.016024747265249405,9,59
非高薪更突出,2,软件,0.009094734270467288,0.023247380022843895,-0.014152645752376607,9,66
非高薪更突出,3,收集,0.012583439823809559,0.025301290077222233,-0.012717850253412674,12,62
非高薪更突出,4,内容,0.010307810484977892,0.022648792815537465,-0.012340982330559573,7,49
非高薪更突出,5,薪资,0.0,0.011560717721328611,-0.011560717721328611,0,21
非高薪更突出,6,时间,0.0,0.011147353909424562,-0.011147353909424562,0,24
非高薪更突出,7,销售,0.012476349819235856,0.0235109269239668,-0.011034577104730945,9,33
非高薪更突出,8,合作,0.013720685401289881,0.024728743866298208,-0.011008058465008326,15,67
非高薪更突出,9,各类,0.005979241993464196,0.016977329278483288,-0.010998087285019092,3,31
非高薪更突出,10,报表,0.010730789575578117,0.021530436811232553,-0.010799647235654436,11,47
非高薪更突出,11,应届,0.0,0.01076972443952891,-0.01076972443952891,0,16
非高薪更突出,12,经营,0.0027899916955707073,0.01350481480924424,-0.010714823113673532,2,16
非高薪更突出,13,薪酬,0.0013492824469377596,0.010705562637621461,-0.009356280190683701,1,10
非高薪更突出,14,情况,0.0,0.00895454533670464,-0.00895454533670464,0,19
非高薪更突出,15,审核,0.0,0.00874312980536197,-0.00874312980536197,0,9
