side,rank_side,term,mean_tfidf_high,mean_tfidf_nonhigh,diff,doc_freq_high,doc_freq_nonhigh
高薪更突出,1,业务,0.09746576516711605,0.07093447722084918,0.02653128794626687,167,337
高薪更突出,2,产品,0.04490667764517603,0.021519767473334964,0.023386910171841066,96,133
高薪更突出,3,用户,0.049019384934090006,0.026141895250764036,0.02287748968332597,76,136
高薪更突出,4,商业,0.03203852863058529,0.009733289424780939,0.02230523920580435,53,56
高薪更突出,5,策略,0.03539282466933299,0.016626977460324377,0.01876584720900861,69,113
高薪更突出,6,供应链,0.021666930096123343,0.0035932401541885458,0.018073689941934798,34,19
高薪更突出,7,算法,0.02720015122542159,0.01158823668988278,0.01561191453553881,50,47
高薪更突出,8,模型,0.03375985381928406,0.019204830109402108,0.014555023709881949,81,129
高薪更突出,9,场景,0.021605723658360117,0.008436114544536964,0.013169609113823153,68,63
高薪更突出,10,洞察,0.02483436284967554,0.011666771690424084,0.013167591159251457,72,87
高薪更突出,11,建模,0.02230355191356996,0.009264348528988784,0.013039203384581177,66,76
高薪更突出,12,经营,0.036046207835235725,0.024841401921306096,0.011204805913929628,47,98
高薪更突出,13,落地,0.026921876895483657,0.01599601998909667,0.010925856906386987,89,129
高薪更突出,14,驱动,0.018808382709897254,0.008435067611117696,0.010373315098779558,57,63
高薪更突出,15,核心,0.02311616873887257,0.013026578442321572,0.010089590296550998,76,106
非高薪更突出,1,软件,0.007022043134927468,0.020814191399565918,-0.01379214826463845,27,149
非高薪更突出,2,整理,0.008580586092192666,0.021749525407560012,-0.013168939315367346,29,136
非高薪更突出,3,内容,0.007060896816754258,0.017929526454562264,-0.010868629637808006,18,85
非高薪更突出,4,报表,0.01682664071399116,0.026087611492152392,-0.00926097077816123,43,140
非高薪更突出,5,薪资,0.0019038064075987886,0.01077083014532786,-0.00886702373772907,6,50
非高薪更突出,6,图表,0.0019331037155911536,0.010652689512667693,-0.008719585797076539,7,55
非高薪更突出,7,资金,0.0019289699665885774,0.010640479314782972,-0.008711509348194394,3,18
非高薪更突出,8,数据处理,0.011733787605854877,0.020018716833257805,-0.008284929227402928,41,136
非高薪更突出,9,收集,0.01361032824132324,0.021662719130692412,-0.008052390889369172,48,149
非高薪更突出,10,专员,0.0020923791895681044,0.009829614407544365,-0.007737235217976261,6,53
非高薪更突出,11,excel,0.015081208724480788,0.022554660629583525,-0.0074734519051027366,68,224
非高薪更突出,12,销售,0.016384961219292393,0.02289189666593179,-0.0065069354466393975,34,93
非高薪更突出,13,审计,0.002798396988655704,0.009211673618365333,-0.006413276629709629,6,22
非高薪更突出,14,责任心,0.008513063996452115,0.014460443416796828,-0.005947379420344713,30,124
非高薪更突出,15,应届,0.00032907633087290604,0.0062437371027067945,-0.005914660771833889,1,23
