column,level,non_high_salary_count,high_salary_count,total_count
keyword_model,BI分析师,92,44,136
keyword_model,其他分析岗位,232,51,283
keyword_model,商业分析师,46,33,79
keyword_model,数据分析师,217,72,289
keyword_model,用户分析师,83,40,123
keyword_model,经营分析师,89,27,116
degree_group,不限,25,5,30
degree_group,其他/未说明,5,0,5
degree_group,大专,165,11,176
degree_group,本科,527,217,744
degree_group,硕士及以上,37,34,71
experience_group,1-3年,325,48,373
experience_group,3-5年,158,112,270
experience_group,5年以上,35,74,109
experience_group,不限,224,33,257
experience_group,其他/未说明,17,0,17
city_tier,一线,161,144,305
city_tier,其他,323,48,371
city_tier,新一线,275,75,350
company_size_model,中型,206,71,277
company_size_model,大型,58,18,76
company_size_model,微型或小型,227,42,269
company_size_model,超大型,268,136,404
