rank,term,doc_freq,avg_weight,total_weight
1,运营,175,0.4997708684645755,87.45990198130072
2,优化,174,0.3579780346741867,62.28817803330849
3,用户,139,0.4919300691770168,68.37827961560534
4,行业,132,0.3924507641367595,51.803500866052254
5,统计学,127,0.37225701458981625,47.27664085290667
6,产品,124,0.4397756751811026,54.53218372245672
7,报告,124,0.3453072284660247,42.81809632978706
8,指标,111,0.3707248671234252,41.15046025070019
9,报表,108,0.4189715529538134,45.248927719011846
10,经营,107,0.5162824740579441,55.24222472420002
11,策略,106,0.44521073045583626,47.192337428318645
12,计算机,104,0.3459896899861091,35.98292775855534
13,数学,101,0.31549546977604254,31.865042447380294
14,软件,95,0.40951711971571675,38.90412637299309
15,监控,95,0.34447599825127084,32.72521983387073
16,模型,93,0.4231387314256575,39.351902022586145
17,财务,79,0.527707703546415,41.68890858016679
18,决策,78,0.34350864734581055,26.793674492973224
19,落地,76,0.3095022024853992,23.52216738889034
20,可视化,75,0.3295694460660863,24.717708454956473
21,客户,73,0.5009999724249459,36.57299798702105
22,商业,72,0.40938430676367443,29.47567008698456
23,市场,68,0.425793625308679,28.95396652099017
24,bi,66,0.416457229970041,27.902634407992746
25,建议,66,0.31948406692814063,21.08594841725728
26,销售,64,0.48998027253245785,31.358737442077302
27,体系,64,0.38571077729358444,24.685489746789404
28,合作,64,0.36801287500379204,23.55282400024269
29,研究,62,0.47201517292647066,29.26494072144118
30,平台,57,0.3668594519969786,20.91098876382778
