keyword,version,rank,term,mean_tfidf
BI分析师,raw,1,数据,0.16506557525090193
BI分析师,raw,2,业务,0.08923994520940164
BI分析师,raw,3,数据分析,0.08347283759898612
BI分析师,raw,4,分析,0.06891863614427435
BI分析师,raw,5,项目,0.044854750363620285
BI分析师,raw,6,bi,0.04145993642614754
BI分析师,raw,7,报表,0.04108282226229849
BI分析师,raw,8,需求,0.038367632092113704
BI分析师,raw,9,开发,0.03583105946626071
BI分析师,raw,10,sql,0.035602516677441826
BI分析师,raw,11,powerbi,0.034001406209659676
BI分析师,raw,12,可视化,0.03362697317147594
BI分析师,raw,13,优化,0.033593054037629064
BI分析师,raw,14,产品,0.03109163088146272
BI分析师,raw,15,设计,0.030379421645983107
BI分析师,raw,16,客户,0.029756489025496637
BI分析师,raw,17,报告,0.02868881116907913
BI分析师,raw,18,流程,0.02827158386515594
BI分析师,raw,19,分析师,0.028075299910317528
BI分析师,raw,20,独立,0.027741121913263993
BI分析师,filtered,1,bi,0.04145993642614754
BI分析师,filtered,2,报表,0.04108282226229849
BI分析师,filtered,3,sql,0.035602516677441826
BI分析师,filtered,4,powerbi,0.034001406209659676
BI分析师,filtered,5,可视化,0.03362697317147594
BI分析师,filtered,6,优化,0.033593054037629064
BI分析师,filtered,7,产品,0.03109163088146272
BI分析师,filtered,8,客户,0.029756489025496637
BI分析师,filtered,9,报告,0.02868881116907913
BI分析师,filtered,10,流程,0.02827158386515594
BI分析师,filtered,11,独立,0.027741121913263993
BI分析师,filtered,12,精通,0.027208286249956356
BI分析师,filtered,13,决策,0.026788392785810043
BI分析师,filtered,14,销售,0.026422291387581356
BI分析师,filtered,15,基础,0.026304937181638087
BI分析师,filtered,16,指标,0.026046526839112093
BI分析师,filtered,17,运营,0.025795083395283094
BI分析师,filtered,18,tableau,0.025528832042932374
BI分析师,filtered,19,系统,0.024582740407573567
BI分析师,filtered,20,统计学,0.024414139915196097
商业分析师,raw,1,数据,0.12087695565184807
商业分析师,raw,2,业务,0.10600650560173681
商业分析师,raw,3,分析,0.10590673419906048
商业分析师,raw,4,数据分析,0.05760426330163301
商业分析师,raw,5,商业,0.056287283141092125
商业分析师,raw,6,经营,0.05260260341395318
商业分析师,raw,7,策略,0.04672913543837851
商业分析师,raw,8,需求,0.03812004629628193
商业分析师,raw,9,行业,0.03327430663123594
商业分析师,raw,10,优化,0.03290368726585434
商业分析师,raw,11,分析师,0.030439944846753147
商业分析师,raw,12,项目,0.03039735973579428
商业分析师,raw,13,产品,0.030381557002870554
商业分析师,raw,14,用户,0.0278218783697384
商业分析师,raw,15,运营,0.027619731854054957
商业分析师,raw,16,模型,0.02726454007229257
商业分析师,raw,17,管理,0.02683642163413826
商业分析师,raw,18,核心,0.026403586047576495
商业分析师,raw,19,决策,0.02623087455643083
商业分析师,raw,20,研究,0.02603483661731022
商业分析师,filtered,1,商业,0.056287283141092125
商业分析师,filtered,2,经营,0.05260260341395318
商业分析师,filtered,3,策略,0.04672913543837851
商业分析师,filtered,4,行业,0.03327430663123594
商业分析师,filtered,5,优化,0.03290368726585434
商业分析师,filtered,6,产品,0.030381557002870554
商业分析师,filtered,7,用户,0.0278218783697384
商业分析师,filtered,8,运营,0.027619731854054957
商业分析师,filtered,9,模型,0.02726454007229257
商业分析师,filtered,10,核心,0.026403586047576495
商业分析师,filtered,11,决策,0.02623087455643083
商业分析师,filtered,12,研究,0.02603483661731022
商业分析师,filtered,13,市场,0.025939068636688854
商业分析师,filtered,14,报告,0.025564113615936895
商业分析师,filtered,15,增长,0.025402636688535835
商业分析师,filtered,16,客户,0.025232946440857003
商业分析师,filtered,17,整理,0.025158987135418677
商业分析师,filtered,18,洞察,0.024366261856676903
商业分析师,filtered,19,美团,0.024226007320381722
商业分析师,filtered,20,统计,0.024076145800815997
数据分析师,raw,1,数据,0.14199160353985305
数据分析师,raw,2,业务,0.0757686817625394
数据分析师,raw,3,数据分析,0.07228464085883887
数据分析师,raw,4,分析,0.0704540998889789
数据分析师,raw,5,需求,0.03154756586990678
数据分析师,raw,6,项目,0.030412629904867178
数据分析师,raw,7,分析师,0.029983050213666006
数据分析师,raw,8,优化,0.028934953293969185
数据分析师,raw,9,统计学,0.027168543100826593
数据分析师,raw,10,技术,0.026328023213924287
数据分析师,raw,11,模型,0.026295703042197725
数据分析师,raw,12,报告,0.025295622065371334
数据分析师,raw,13,sql,0.02514475743221849
数据分析师,raw,14,决策,0.02495863732994126
数据分析师,raw,15,python,0.024523755308177332
数据分析师,raw,16,指标,0.024141266567411883
数据分析师,raw,17,数学,0.024002590932213012
数据分析师,raw,18,运营,0.023033296975478987
数据分析师,raw,19,开发,0.022926140955006506
数据分析师,raw,20,收集,0.02216972053723059
数据分析师,filtered,1,优化,0.028934953293969185
数据分析师,filtered,2,统计学,0.027168543100826593
数据分析师,filtered,3,模型,0.026295703042197725
数据分析师,filtered,4,报告,0.025295622065371334
数据分析师,filtered,5,sql,0.02514475743221849
数据分析师,filtered,6,决策,0.02495863732994126
数据分析师,filtered,7,python,0.024523755308177332
数据分析师,filtered,8,指标,0.024141266567411883
数据分析师,filtered,9,数学,0.024002590932213012
数据分析师,filtered,10,运营,0.023033296975478987
数据分析师,filtered,11,收集,0.02216972053723059
数据分析师,filtered,12,合作,0.021717507051059577
数据分析师,filtered,13,excel,0.02159101801137133
数据分析师,filtered,14,协作,0.021533379776118685
数据分析师,filtered,15,产品,0.02120426562228431
数据分析师,filtered,16,整理,0.020898190938252213
数据分析师,filtered,17,流程,0.02037862143748821
数据分析师,filtered,18,销售,0.020273354004430585
数据分析师,filtered,19,数据处理,0.020231302243459485
数据分析师,filtered,20,算法,0.01972189937830798
用户分析师,raw,1,数据,0.1372941857915122
用户分析师,raw,2,业务,0.09981889715029806
用户分析师,raw,3,分析,0.08581156040142315
用户分析师,raw,4,用户,0.07604759326431766
用户分析师,raw,5,数据分析,0.06424179695520167
用户分析师,raw,6,需求,0.05428049852245469
用户分析师,raw,7,运营,0.0542559558095682
用户分析师,raw,8,产品,0.04830140797828299
用户分析师,raw,9,研究,0.038724725155023274
用户分析师,raw,10,项目,0.03794085131261487
用户分析师,raw,11,优化,0.03396999238091773
用户分析师,raw,12,报告,0.03181330416855321
用户分析师,raw,13,设计,0.028803307139082027
用户分析师,raw,14,策略,0.028223824909269873
用户分析师,raw,15,落地,0.027904423717647307
用户分析师,raw,16,行业,0.027398401742576694
用户分析师,raw,17,模型,0.027301624993835316
用户分析师,raw,18,推动,0.02599301903291472
用户分析师,raw,19,客户,0.025930315033720938
用户分析师,raw,20,ai,0.02547366216602809
用户分析师,filtered,1,用户,0.07604759326431766
用户分析师,filtered,2,运营,0.0542559558095682
用户分析师,filtered,3,产品,0.04830140797828299
用户分析师,filtered,4,研究,0.038724725155023274
用户分析师,filtered,5,优化,0.03396999238091773
用户分析师,filtered,6,报告,0.03181330416855321
用户分析师,filtered,7,策略,0.028223824909269873
用户分析师,filtered,8,落地,0.027904423717647307
用户分析师,filtered,9,行业,0.027398401742576694
