rank,term,mean_tfidf
1,运营,0.03566748879980839
2,用户,0.03298958213582105
3,经营,0.029741457207137324
4,优化,0.029067356583272766
5,产品,0.027560085636953283
6,报告,0.025365261676043502
7,财务,0.024419249759985686
8,策略,0.024387809706642772
9,sql,0.02418454745772761
10,决策,0.023743344133308912
11,模型,0.02304956594397619
12,报表,0.022427308117815136
13,行业,0.022358559350253073
14,指标,0.022335167310526125
15,统计学,0.021979078987061914
16,python,0.020501872565408277
17,销售,0.020305098801256433
18,bi,0.020230919807595338
19,客户,0.020219354129098775
20,流程,0.020212285732657414
21,excel,0.02002153311779964
22,数学,0.01962618246617071
23,建议,0.019371698348661287
24,落地,0.019319063439180963
25,可视化,0.019286113820616412
26,商业,0.019282242257189983
27,独立,0.019220618713363526
28,协作,0.01884368117895795
29,收集,0.018798867579510187
30,合作,0.01822169033092953
