keyword,topic_id,report_topic_id,topic_name,dominant_topic_share
BI分析师,0,1,用户需求与产品系统主题,0.20714285714285716
BI分析师,1,2,商业经营与策略洞察主题,0.0
BI分析师,2,3,统计报表与业务支持主题,0.11428571428571428
BI分析师,3,4,数据建模与运营决策主题,0.6642857142857143
BI分析师,4,5,财务经营与预算管理主题,0.014285714285714285
商业分析师,0,1,用户需求与产品系统主题,0.07692307692307693
商业分析师,1,2,商业经营与策略洞察主题,0.27884615384615385
商业分析师,2,3,统计报表与业务支持主题,0.1346153846153846
商业分析师,3,4,数据建模与运营决策主题,0.46153846153846156
商业分析师,4,5,财务经营与预算管理主题,0.04807692307692308
数据分析师,0,1,用户需求与产品系统主题,0.18120805369127516
数据分析师,1,2,商业经营与策略洞察主题,0.020134228187919462
数据分析师,2,3,统计报表与业务支持主题,0.1476510067114094
数据分析师,3,4,数据建模与运营决策主题,0.6140939597315436
数据分析师,4,5,财务经营与预算管理主题,0.03691275167785235
用户分析师,0,1,用户需求与产品系统主题,0.34328358208955223
用户分析师,1,2,商业经营与策略洞察主题,0.07462686567164178
用户分析师,2,3,统计报表与业务支持主题,0.03731343283582089
用户分析师,3,4,数据建模与运营决策主题,0.5074626865671642
用户分析师,4,5,财务经营与预算管理主题,0.03731343283582089
经营分析师,0,1,用户需求与产品系统主题,0.08196721311475409
经营分析师,1,2,商业经营与策略洞察主题,0.04918032786885246
经营分析师,2,3,统计报表与业务支持主题,0.14754098360655737
经营分析师,3,4,数据建模与运营决策主题,0.5081967213114754
经营分析师,4,5,财务经营与预算管理主题,0.21311475409836064
