keyword,topic_id,report_topic_id,topic_name,mean_topic_prob
BI分析师,0,1,用户需求与产品系统主题,0.2201036636328615
BI分析师,1,2,商业经营与策略洞察主题,0.03035660035047722
BI分析师,2,3,统计报表与业务支持主题,0.13180071341903904
BI分析师,3,4,数据建模与运营决策主题,0.567913684640805
BI分析师,4,5,财务经营与预算管理主题,0.049825337956817296
商业分析师,0,1,用户需求与产品系统主题,0.08727338076525386
商业分析师,1,2,商业经营与策略洞察主题,0.3105532639289027
商业分析师,2,3,统计报表与业务支持主题,0.11657085051567638
商业分析师,3,4,数据建模与运营决策主题,0.4064943414252045
商业分析师,4,5,财务经营与预算管理主题,0.07910816336496257
数据分析师,0,1,用户需求与产品系统主题,0.1904292662358511
数据分析师,1,2,商业经营与策略洞察主题,0.041786875069996024
数据分析师,2,3,统计报表与业务支持主题,0.16303493155215598
数据分析师,3,4,数据建模与运营决策主题,0.5314233426267542
数据分析师,4,5,财务经营与预算管理主题,0.07332558451524271
用户分析师,0,1,用户需求与产品系统主题,0.32937733665886293
用户分析师,1,2,商业经营与策略洞察主题,0.12157755143498852
用户分析师,2,3,统计报表与业务支持主题,0.062469906761127784
用户分析师,3,4,数据建模与运营决策主题,0.43093536357234435
用户分析师,4,5,财务经营与预算管理主题,0.05563984157267639
经营分析师,0,1,用户需求与产品系统主题,0.10590963109047453
经营分析师,1,2,商业经营与策略洞察主题,0.100482815810382
经营分析师,2,3,统计报表与业务支持主题,0.15909248890255964
经营分析师,3,4,数据建模与运营决策主题,0.4121312159468347
经营分析师,4,5,财务经营与预算管理主题,0.2223838482497491
