k,topic_id,report_topic_id,topic_name,rank,term,weight
4,0,1,Topic 1,1,需求,377.633026240681
4,0,1,Topic 1,2,项目,353.7976299286218
4,0,1,Topic 1,3,管理,305.5651753527167
4,0,1,Topic 1,4,业务,231.95323312716613
4,0,1,Topic 1,5,财务,219.2016786288342
4,0,1,Topic 1,6,数据分析,200.2146584933786
4,0,1,Topic 1,7,经营,187.07591613117827
4,0,1,Topic 1,8,流程,184.08915055074905
4,0,1,Topic 1,9,产品,182.73073259406402
4,0,1,Topic 1,10,设计,174.05968344057004
4,0,1,Topic 1,11,开发,173.51356664413913
4,0,1,Topic 1,12,系统,167.9717801990148
4,0,1,Topic 1,13,用户,152.77967919035459
4,0,1,Topic 1,14,数据库,150.54482790631786
4,0,1,Topic 1,15,客户,147.76305758789815
4,1,2,Topic 2,1,业务,450.92415976972006
4,1,2,Topic 2,2,策略,266.4838703639208
4,1,2,Topic 2,3,用户,259.8332890577977
4,1,2,Topic 2,4,商业,191.64126751450826
4,1,2,Topic 2,5,经营,156.19982186300072
4,1,2,Topic 2,6,行业,143.8559087594976
4,1,2,Topic 2,7,服务,131.94338944669732
4,1,2,Topic 2,8,落地,124.34838639769785
4,1,2,Topic 2,9,洞察,122.1104465822321
4,1,2,Topic 2,10,研究,121.8800923189799
4,1,2,Topic 2,11,核心,113.62416546744765
4,1,2,Topic 2,12,市场,112.40362898292628
4,1,2,Topic 2,13,需求,112.05082145084978
4,1,2,Topic 2,14,运营,108.59614428606005
4,1,2,Topic 2,15,美团,106.24765005399979
4,2,3,Topic 3,1,软件,100.71482231629854
4,2,3,Topic 3,2,薪资,81.5024879806727
4,2,3,Topic 3,3,数据分析,76.41515494661733
4,2,3,Topic 3,4,金融,66.91993067075165
4,2,3,Topic 3,5,统计,66.23141711450195
4,2,3,Topic 3,6,整理,58.42626703791613
4,2,3,Topic 3,7,薪酬,57.05997247699258
4,2,3,Topic 3,8,交易,54.868556134471305
4,2,3,Topic 3,9,项目,53.71524893211465
4,2,3,Topic 3,10,excel,52.46906777341837
4,2,3,Topic 3,11,节日,52.08172180146771
4,2,3,Topic 3,12,时间,49.81252358386542
4,2,3,Topic 3,13,销售,48.92302971616349
4,2,3,Topic 3,14,功能,48.36361527514071
4,2,3,Topic 3,15,责任心,47.903516593409506
4,3,4,Topic 4,1,业务,1458.9252734648005
4,3,4,Topic 4,2,数据分析,1248.6245070893058
4,3,4,Topic 4,3,优化,536.9973661209572
4,3,4,Topic 4,4,运营,392.3869502257232
4,3,4,Topic 4,5,sql,390.7289570590356
4,3,4,Topic 4,6,决策,372.74834080661276
4,3,4,Topic 4,7,模型,364.63234921260533
4,3,4,Topic 4,8,指标,317.3836321798729
4,3,4,Topic 4,9,python,316.3014537032742
4,3,4,Topic 4,10,统计学,315.91723109367103
4,3,4,Topic 4,11,报告,298.6212349251135
4,3,4,Topic 4,12,建议,282.3767097804835
4,3,4,Topic 4,13,需求,279.7642627217335
4,3,4,Topic 4,14,数学,257.2601183259437
4,3,4,Topic 4,15,推动,254.22922732479915
5,0,1,用户需求与产品系统主题,1,需求,428.52593601544254
5,0,1,用户需求与产品系统主题,2,项目,360.45354673573866
5,0,1,用户需求与产品系统主题,3,用户,300.94686950033855
5,0,1,用户需求与产品系统主题,4,产品,250.0004817262434
5,0,1,用户需求与产品系统主题,5,业务,223.77686593753285
5,0,1,用户需求与产品系统主题,6,设计,212.72238456073796
5,0,1,用户需求与产品系统主题,7,开发,211.83719672508735
5,0,1,用户需求与产品系统主题,8,数据分析,211.54107968440744
5,0,1,用户需求与产品系统主题,9,技术,165.63089578458556
5,0,1,用户需求与产品系统主题,10,客户,164.0047911587942
5,0,1,用户需求与产品系统主题,11,研究,151.7742822839477
5,0,1,用户需求与产品系统主题,12,数据库,150.84499506831497
5,0,1,用户需求与产品系统主题,13,系统,145.17779934399937
5,0,1,用户需求与产品系统主题,14,流程,115.8514987648408
5,0,1,用户需求与产品系统主题,15,管理,115.50439453774906
5,1,2,商业经营与策略洞察主题,1,业务,416.46969057914146
5,1,2,商业经营与策略洞察主题,2,策略,252.89739144137093
5,1,2,商业经营与策略洞察主题,3,商业,182.6033315135051
5,1,2,商业经营与策略洞察主题,4,经营,155.2596708004197
5,1,2,商业经营与策略洞察主题,5,行业,132.70307332308735
5,1,2,商业经营与策略洞察主题,6,用户,125.69063628518428
5,1,2,商业经营与策略洞察主题,7,服务,123.07866454997912
5,1,2,商业经营与策略洞察主题,8,美团,106.19882794273093
5,1,2,商业经营与策略洞察主题,9,核心,101.84760412737488
5,1,2,商业经营与策略洞察主题,10,目标,99.04043376202227
5,1,2,商业经营与策略洞察主题,11,洞察,95.32411339722623
5,1,2,商业经营与策略洞察主题,12,落地,94.87802152093337
5,1,2,商业经营与策略洞察主题,13,需求,91.84119657439774
5,1,2,商业经营与策略洞察主题,14,市场,85.0734171027704
5,1,2,商业经营与策略洞察主题,15,运营,82.78194007413246
5,2,3,统计报表与业务支持主题,1,统计,91.49326455029649
5,2,3,统计报表与业务支持主题,2,销售,88.32225462401401
5,2,3,统计报表与业务支持主题,3,薪资,81.78774089577396
5,2,3,统计报表与业务支持主题,4,报表,76.92749557049159
5,2,3,统计报表与业务支持主题,5,数据分析,75.8900426050115
5,2,3,统计报表与业务支持主题,6,excel,73.18010743631532
5,2,3,统计报表与业务支持主题,7,整理,64.90009670606281
5,2,3,统计报表与业务支持主题,8,时间,63.99902786225844
5,2,3,统计报表与业务支持主题,9,软件,62.272272598990305
5,2,3,统计报表与业务支持主题,10,定期,61.20488614636013
5,2,3,统计报表与业务支持主题,11,薪酬,59.18992520814028
5,2,3,统计报表与业务支持主题,12,管理,56.16261556803003
5,2,3,统计报表与业务支持主题,13,生产,54.070212614279
5,2,3,统计报表与业务支持主题,14,金融,53.86567381091475
5,2,3,统计报表与业务支持主题,15,节日,53.330459441252465
5,3,4,数据建模与运营决策主题,1,业务,1466.4258619864233
5,3,4,数据建模与运营决策主题,2,数据分析,1190.2206064899906
5,3,4,数据建模与运营决策主题,3,优化,546.0949027113852
5,3,4,数据建模与运营决策主题,4,运营,433.3469307553965
5,3,4,数据建模与运营决策主题,5,sql,376.2198724835594
5,3,4,数据建模与运营决策主题,6,决策,370.25768085875586
5,3,4,数据建模与运营决策主题,7,模型,352.75594092571674
5,3,4,数据建模与运营决策主题,8,指标,310.3846927359398
5,3,4,数据建模与运营决策主题,9,报告,308.46937837790205
